title,author,year_written,year_published
Сільські вісті,,1920,
Тарас Бульба,,1880,1924.0
Тарас Бульба,,1890,1924.0
Розбудова нації (газета),,1928,
Табор,,1923,
Нова хата,,1925,
Час,,1928,
Нові шляхи,,1929,
Краєзнавство (журнал),,1927,
Новий день (Мелітополь),,1923,
Пролетарская правда,,1921,
Радянський статистик (видання),,1924,
Рідна Школа,,1927,
Селянський прапор,,1925,
Сміх і Правда,,1925,
Тваринництво України,,1926,
Старт,,1922,
Сурма (місячник ОУН),,1927,
Сурма (місячник УВО),,1927,
Східний Світ,,1927,
Січ (газета),,1924,
Технічні Вісті,,1925,
Доктор Серафікус,Петров Віктор Платонович,1929,
Народна справа,,1928,
Історія пані Ївги,Підмогильний Валер'ян Петрович,1923,
"Вперед (газета, Ужгород)",,1920,
Вісник НАН України,,1928,
Голос Життя (видання),,1929,
Золотий обруч (опера),,1923,2000.0
Українська Музична Газета,,1926,
Українська Реформація (місячник),,1928,
Українська культура,,1921,
Український Біохімічний Журнал,,1926,
Український студент (Прага),,1920,
Філософська думка (журнал),,1927,
Хліборобська Правда,,1924,
Червоний гірник,,1924,
Червоні Квіти (журнал),,1923,
Шляхом Незалежности,,1929,
Я (Романтика),Микола Хвильовий,1924,
Договір між Естонською Демократичною Республікою та Українською Радянською Соціалістичною Республікою,,1921,
Q16635608,,1920,
Літопис революції,,1922,
Подорож ученого доктора Леонардо і його майбутньої коханки прекрасної Альчести у Слобожанську Швайцарію,Йогансен Майк Гервасійович,1928,
Екран і життя,,1929,
Вітер з України,Тичина Павло Григорович,1920,
Плуг,Тичина Павло Григорович,1918,1920.0
"Ортопедія, травматологія та протезування",,1927,1927.0
Богословія,,1923,
Хам і Яфет,Липинський В'ячеслав Казимирович,1928,1928.0
Вісти Українського наукового інституту в Берліні,,1926,
"КРОПИВНИЦЬКИЙ, МАР'ЯН (ОСОБИСТИЙ АРХІВ)",,1927,
Український сурмач,,1922,
Хлібороб України,,1924,
Аматорський театр,,1925,
Нова громада,,1923,
Нова громада,,1922,
Наукові записки (Українська академія друкарства),,1939,
Вітчизна,,1933,
Гори говорять,Самчук Улас Олексійович,1932,
Дажбог (журнал),,1932,
Донеччина (газета),,1936,
Наукові праці ОНАЗ ім. О.С.Попова,,1933,
Пробоєм,,1934,
Промінь,,1931,1931.0
Самостійна думка,,1931,
Самостійність (тижневик),,1934,
Світ молоді (Коломия),,1934,
Сила (газета),,1930,
Макарівські вісті,,1932,
Мета (газета),,1931,
Архів Радянської України (часопис),,1932,
Бойова молодь,,1930,
Вільне життя плюс,,1939,
Вістник (журнал),,1933,
Геологічний журнал,,1934,
Щорс,,1938,2000.0
Сонечко (видання),,1935,
Студентський шлях (журнал),,1931,
Сіяч (журнал),,1932,
Трибуна трудящих,,1937,
Українська Громадська Пора,,1930,
Українське Юнацтво,,1933,
Український Православний Вісник,,1935,
Учительський Голос,,1930,
Хліборобська молодь,,1934,
Залізничник Донбасу,,1934,
"Газета ""Дубенська правда""",,1939,
Запорожець,,1936,
Три перстені,Богдан-Ігор Антонич,1932,
Книга Лева,Богдан-Ігор Антонич,1934,
Зелена Євангелія,Богдан-Ігор Антонич,1935,
Ротації,Богдан-Ігор Антонич,1935,
Змова в Києві,Плужник Євген Павлович,1930,
Нащадки скіфів,Владко Володимир Миколайович,1937,
Аероторпеди повертають назад,Владко Володимир Миколайович,1933,
Соціалістичний Київ,,1933,
Трибуна хлібороба,,1931,
Образотворче мистецтво,,1935,
Новий шлях,,1935,
Сліпці,Микола Платонович Бажан,1930,
Наша Зоря,,1938,
The Maid,,1939,
Платон Кречет,Корнійчук Олександр Євдокимович,1934,
Козельщинські вісті,,1930,
Окнянський вісник,,1931,
"ВАСИЛЬ СЕДЛЯР. «ГОЛОДОМОРНЕ ВИДАННЯ» КОБЗАРЯ Т. Г. ШЕВЧЕНКА, 1933. ІЛЮСТРАЦІЇ.",,1933,
Special Collection (NAMU),,1937,
Маяк,,1932,
Загибель ескадри,Корнійчук Олександр Євдокимович,1933,
Ідея і Чин,,1942,
Вперед,,1949,
Втікачі,,1948,1948.0
До Зброї,,1943,
Попіл імперій,Юрій Клен,1943,
Наша мета,,1949,
Наше життя (часопис),,1944,
Богдан Хмельницький,,1948,2000.0
Дзвін,,1940,
Прапороносці,Гончар Олесь Терентійович,1946,1946.0
Нова Україна,,1941,
Вільна думка,,1949,
Рідна Земля (тижневик),,1941,
Шлях перемоги,,1948,
Краківські вісті,,1940,
Народна армія,,1943,
Стрілецькі вісті,,1944,
